鉄骨強度,マテリアル名称
BCP235,BCP235
BCP235C,BCP235C
BCP325,BCP325
BCP325C,BCP325C
BCP325T,BCP325T
BCR295,BCR295
G385B,G385B
G385C,G385C
G385T,G385T
G440B,G440B
G440C,G440C
JBCR295,JBCR295
P-325B,P-325B
P-325C,P-325C
P-355B,P-355B
P-355C,P-355C
P-385B,P-385B
P-385C,P-385C
P-440B,P-440B
P-440C,P-440C
PBCP440B,PBCP440B
PBCP440C,PBCP440C
SM400A,SM400A
SM400B,SM400B
SM400C,SM400C
SM490A,SM490A
SM490B,SM490B
SM490C,SM490C
SM520B,SM520B
SM520C,SM520C
SM570,SM570
SN400A,SN400A
SN400B,SN400B
SN400C,SN400C
SN490A,SN490A
SN490B,SN490B
SN490C,SN490C
SNR400B,SNR400B
SNR490B,SNR490B
SS400,SS400
SSC400,SSC400
STK400,STK400
STK490,STK490
STKN400B,STKN400B
STKN400W,STKN400W
STKN490B,STKN490B
STKR400,STKR400
STKR490,STKR490
